Artist,Id,Genres,New Name,name,id
,,,,Mark Ambor,11p2E654TTU8e0nZWBR4AL
,,,,ZWE1HVNDXR,33rnQWadiG2aauIwIxPxfB
,,,,Jay Wheeler,2cPqdH7XMvwaBJEVjheH8g
,,,,Bayhan,7yiLonxrJVgZKSbjo0gh6V
,,,,DENNIS,6xlRSRMLgZbsSNd0BMobwy
,,,,Tï¿½ï¿½ng Duy ,0v4xGtm0PPD9tXfECcStbu
,,,,MEDUZA,0xRXCcSX89eobfrshSVdyu
,,,,Nicky Jam,1SupJlEpv7RS2tPNRaHViT
,,,,YNW Melly,1cNDP5yjU5vjeR8qMf4grg
,,,,Mounika Yadav,2oLVeyUyYNFELwC93iZWGG
,,,,Number_i,4XFkDALFTsSHVnRtJSsaMN
,,,,Amaarae,21UPYSRWFKwtqvSAnFnSvS
,,,,Josh Groban,6cXMpsP9x0SH4kFfMyVezF
,,,,(G)I-DLE,2AfmfGFbe0A0WsTYm0SDTx
,,,,Kalpana,0vHFmEgN5GVfj1kjgTvf0P
,,,,Lana Del Rey,00FQb4jTyendYWaN8pK0wa
,,,,Falls,4Y5CKbAT8fHWEbpLGFNygB
,,,,King,6QtgPSJPSzcnn7dPZ4VINp
,,,,Saweetie,6cK3NBO6uP7hh0oyuVELFl
,,,,Jason Derulo,07YZf4WDAMNwqr4jfgOZ8y
,,,,Nio Garcia,5hdhHgpxyniooUiQVaPxQ0
,,,,Joost,6s5ubAp65wXoTZefE01RNR
,,,,Karl Wine,6vZKj9U4vIetFGznCpxVN5
,,,,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ
,,,,Cartel De Santa,07PdYoE4jVRF6Ut40GgVSP
,,,,Joel Corry,6DgP9otnZw5z6daOntINxp
,,,,Dean Lewis,3QSQFmccmX81fWCUSPTS7y
,,,,Polimï¿½ï¿½ Westc,1O38Z72k0fvNwcLKbUaYgI
,,,,Yall,1LtlO7x7J1OCaUVKRBub5v
,,,,Rosa Linn,46xBNx0j6cwY6sD9LgMTm1
,,,,Jubin Nautiyal,1tqysapcCh1lWEAc9dIFpa
,,,,PSY,2dd5mrQZvg6SmahdgVKDzh
,,,,NATTI NATASHA,1GDbiv3spRmZ1XdM1jQbT7
,,,,Soolking,0GgY7hjMoGDsX8ZDe2mwds
,,,,Jhayco,6nVcHLIgY5pE2YCl8ubca1
,,,,Alan Walker,7vk5e3vY1uw9plTHJAMwjN
,,,,LF SYSTEM,0HxX6imltnNXJyQhu4nsiO
,,,,Black Eyed Peas,1yxSLGMDHlW21z4YXirZDS
,,,,blackbear,2cFrymmkijnjDg9SS92EPM
,,,,Giveon,4fxd5Ee7UefO4CUXgwJ7IP
,,,,BoyWithUke,1Cd373x8qzC7SNUg5IToqp
,,,,Chris Stapleton,4YLtscXsxbVgi031ovDDdh
,,,,Liamsi,3W0nbFHGRWfrVNVAsZN6rw
,,,,JID,6U3ybJ9UHNKEdsH7ktGBZ7
,,,,Kodak Black,46SHBwWsqBkxI7EeeBEQG7
,,,,Mawell,6UO7zshgw0fLVF6DVKg9PN
,,,,JACKBOYS,7A8S43ryYdbWpJKeHRZRcq
,,,,Panic! At The Disco,20JZFwl6HVl6yg8a4H3ZqK
,,,,Lori,6T2pk5T8c4Wi61x1v84sUa
,,,,Vï¿½,6JRL8ZQRoeP1nyDtKaEwKb
,,,,Bella Poarch,26cMerAxjx9GedFt0lMDjm
,,,,Junior H,7Gi6gjaWy3DxyilpF1a8Is
,,,,Ciara,2NdeV5rLm47xAvogXrYhJX
,,,,Arijit Singh,4YRxDV8wJFPHPTeXepOstw
,,,,Coldplay,4gzpq5DPGxSnKTe4SA8HAU
,,,,Young Nudy,5yPzzu25VzEk8qrGTLIrE1
,,,,Nardo Wick,0Njy6yR9LykNKYg9yE23QN
,,,,Jungle,59oA5WbbQvomJz2BuRG071
,,,,Lefty Sm,6eXHRfK9Ad3IpMpSAqvcDf
,,,,Victor Thompson,5c0lDrNyT2RnFhujZpPIas
